t      ,A11      ,A12     ,A21      ,A22      ,B11      ,B21
 0.202 ,-11.5013 ,76.4364 ,-76.4364 ,-11.5013 ,0.983788 ,1.91609
 0.204 ,-11.5012 ,76.4358 ,-76.4358 ,-11.5012 ,0.983716 ,1.91608
 0.206 ,-11.5011 ,76.4351 ,-76.4351 ,-11.5011 ,0.983657 ,1.91607
 0.208 ,-11.5011 ,76.4345 ,-76.4345 ,-11.5011 ,0.983612 ,1.91607
 0.21  ,-11.501  ,76.4339 ,-76.4339 ,-11.501  ,0.983581 ,1.91608
 0.212 ,-11.5009 ,76.4333 ,-76.4333 ,-11.5009 ,0.983568 ,1.9161
 0.214 ,-11.5008 ,76.4327 ,-76.4327 ,-11.5008 ,0.983582 ,1.91614
 0.216 ,-11.5007 ,76.4322 ,-76.4322 ,-11.5007 ,0.983604 ,1.91618
 0.218 ,-11.5006 ,76.4316 ,-76.4316 ,-11.5006 ,0.983634 ,1.91622
 0.22  ,-11.5005 ,76.4311 ,-76.4311 ,-11.5005 ,0.983669 ,1.91625
 0.222 ,-11.5005 ,76.4306 ,-76.4306 ,-11.5005 ,0.98371  ,1.91629
 0.224 ,-11.5004 ,76.4301 ,-76.4301 ,-11.5004 ,0.983746 ,1.91631
 0.226 ,-11.5003 ,76.4295 ,-76.4295 ,-11.5003 ,0.983764 ,1.91632
 0.228 ,-11.5002 ,76.4291 ,-76.4291 ,-11.5002 ,0.983796 ,1.91635
 0.23  ,-11.5002 ,76.4286 ,-76.4286 ,-11.5002 ,0.983838 ,1.91639
 0.232 ,-11.5001 ,76.4281 ,-76.4281 ,-11.5001 ,0.983883 ,1.91642
 0.234 ,-11.5    ,76.4276 ,-76.4276 ,-11.5    ,0.983929 ,1.91645
 0.236 ,-11.5    ,76.4272 ,-76.4272 ,-11.5    ,0.983976 ,1.91647
 0.238 ,-11.4999 ,76.4268 ,-76.4268 ,-11.4999 ,0.984022 ,1.9165
 0.24  ,-11.4998 ,76.4263 ,-76.4263 ,-11.4998 ,0.984066 ,1.91651
 0.242 ,-11.4998 ,76.4259 ,-76.4259 ,-11.4998 ,0.984108 ,1.91653
 0.244 ,-11.4997 ,76.4255 ,-76.4255 ,-11.4997 ,0.984146 ,1.91654
 0.246 ,-11.4997 ,76.4251 ,-76.4251 ,-11.4997 ,0.984181 ,1.91654
 0.248 ,-11.4996 ,76.4247 ,-76.4247 ,-11.4996 ,0.98421  ,1.91655
 0.25  ,-11.4995 ,76.4243 ,-76.4243 ,-11.4995 ,0.984234 ,1.91654
 0.252 ,-11.4995 ,76.424  ,-76.424  ,-11.4995 ,0.984253 ,1.91654
 0.254 ,-11.4994 ,76.4236 ,-76.4236 ,-11.4994 ,0.984265 ,1.91653
 0.256 ,-11.4994 ,76.4232 ,-76.4232 ,-11.4994 ,0.984272 ,1.91651
 0.258 ,-11.4993 ,76.4229 ,-76.4229 ,-11.4993 ,0.984273 ,1.9165
 0.26  ,-11.4993 ,76.4226 ,-76.4226 ,-11.4993 ,0.984269 ,1.91648
 0.262 ,-11.4992 ,76.4222 ,-76.4222 ,-11.4992 ,0.984259 ,1.91646
 0.264 ,-11.4992 ,76.4219 ,-76.4219 ,-11.4992 ,0.984245 ,1.91644
 0.266 ,-11.4991 ,76.4216 ,-76.4216 ,-11.4991 ,0.984227 ,1.91642
