t,u,pred_p_x,pred_p_y,pred_p_z,pred_v_x,pred_v_y,pred_v_z,p_x,p_y,p_z,v_x,v_y,v_z
0.202,0,-1.759,0,54.3222,-0.0872192,0,-0.0732422,-2.12424,0,54.3108,0.00315611,0,0.000220298
0.204,0,-1.75685,0,54.3228,0.962158,0,-0.0479126,-2.12445,0,54.3108,0.0107995,0,0.000703543
0.206,0,-1.75259,0,54.3234,1.92621,0,-0.0231934,-2.12464,0,54.3108,0.0205252,0,0.00113285
0.208,0,-1.74642,0,54.3241,2.78613,0,0.000305176,-2.12481,0,54.3108,0.0319717,0,0.00166667
0.21,0,-1.73857,0,54.3247,3.52667,0,0.0220947,-2.12496,0,54.3107,0.044819,0,0.00226814
0.212,0,-1.72929,0,54.3253,4.13586,0,0.0419312,-2.12508,0,54.3107,0.0586631,0,0.00290096
0.214,0,-1.71888,0,54.3259,4.60547,0,0.0592041,-2.12517,0,54.3107,0.0731559,0,0.00358265
0.216,0,-1.70761,0,54.3264,4.9306,0,0.0737305,-2.12524,0,54.3107,0.0878966,0,0.00425212
0.218,0,-1.69581,0,54.3269,5.11053,0,0.0852661,-2.12527,0,54.3107,0.102545,0,0.00494294
0.22,0,-1.68375,0,54.3273,5.1474,0,0.093811,-2.12528,0,54.3107,0.116738,0,0.0055843
0.222,0,-1.67174,0,54.3276,5.04688,0,0.0990601,-2.12526,0,54.3107,0.130176,0,0.00621941
0.224,0,-1.66005,0,54.3279,4.81738,0,0.101257,-2.12521,0,54.3107,0.14256,0,0.00677631
0.226,0,-1.64894,0,54.3281,4.47021,0,0.100403,-2.12514,0,54.3107,0.153658,0,0.00730166
0.228,0,-1.63865,0,54.3282,4.01849,0,0.0964966,-2.12504,0,54.3107,0.163254,0,0.0077308
0.23,0,-1.62938,0,54.3282,3.47784,0,0.0900879,-2.12493,0,54.3107,0.171199,0,0.00810739
0.232,0,-1.62164,0,54.3281,2.86639,0,0.0817261,-2.12481,0,54.3108,0.177374,0,0.00838112
0.234,0,-1.61519,0,54.328,2.19989,0,0.071228,-2.12468,0,54.3108,0.18172,0,0.00858714
0.236,0,-1.61012,0,54.3278,1.49615,0,0.05896,-2.12454,0,54.3108,0.184214,0,0.0086951
0.238,0,-1.60649,0,54.3275,0.773376,0,0.0452881,-2.12439,0,54.3108,0.184888,0,0.00872636
0.24,0,-1.60433,0,54.3272,0.0490112,0,0.0304565,-2.12425,0,54.3108,0.183805,0,0.00867439
0.242,0,-1.60361,0,54.3269,-0.659485,0,0.0150757,-2.12411,0,54.3108,0.181077,0,0.00854331
0.244,0,-1.60428,0,54.3265,-1.33673,0,-0.000610352,-2.12397,0,54.3108,0.176839,0,0.00835094
0.246,0,-1.60627,0,54.3261,-1.9682,0,-0.0161743,-2.12385,0,54.3108,0.171271,0,0.00808438
0.248,0,-1.6095,0,54.3257,-2.54077,0,-0.0314331,-2.12374,0,54.3108,0.164558,0,0.00778242
0.25,0,-1.61382,0,54.3253,-3.04425,0,-0.0457764,-2.12364,0,54.3108,0.156921,0,0.00741708
0.252,0,-1.61902,0,54.3249,-3.4707,0,-0.059021,-2.12356,0,54.3108,0.148577,0,0.00704346
0.254,0,-1.62498,0,54.3246,-3.81329,0,-0.0706177,-2.1235,0,54.3108,0.139764,0,0.00662202
0.256,0,-1.63157,0,54.3242,-4.06683,0,-0.0809326,-2.12345,0,54.3108,0.130706,0,0.0062175
0.258,0,-1.63857,0,54.3239,-4.22998,0,-0.0895386,-2.12343,0,54.3108,0.121637,0,0.00578434
0.26,0,-1.64581,0,54.3236,-4.30322,0,-0.0961914,-2.12342,0,54.3108,0.112767,0,0.00538851
0.262,0,-1.6531,0,54.3234,-4.28864,0,-0.100952,-2.12342,0,54.3108,0.104302,0,0.00498517
0.264,0,-1.66028,0,54.3232,-4.19055,0,-0.103699,-2.12345,0,54.3108,0.0964204,0,0.00463315
0.266,0,-1.66718,0,54.323,-4.01514,0,-0.104675,-2.12349,0,54.3108,0.0892864,0,0.00429471
0.268,0,-1.67375,0,54.3229,-3.76941,0,-0.103394,-2.12354,0,54.3108,0.0830302,0,0.00401428
0.27,0,-1.6799,0,54.3229,-3.46191,0,-0.100281,-2.1236,0,54.3108,0.0777644,0,0.00376679
0.272,0,-1.68536,0,54.3229,-3.10327,0,-0.09552,-2.12368,0,54.3108,0.073565,0,0.00357671
0.274,0,-1.69005,0,54.323,-2.70435,0,-0.0894165,-2.12376,0,54.3108,0.070485,0,0.00343548
0.276,0,-1.69388,0,54.3231,-2.27612,0,-0.0820312,-2.12384,0,54.3108,0.0685421,0,0.00334442
0.278,0,-1.6968,0,54.3232,-1.82996,0,-0.0737305,-2.12393,0,54.3108,0.0677321,0,0.00331318
0.28,0,-1.69879,0,54.3234,-1.37701,0,-0.0646362,-2.12402,0,54.3108,0.0680206,0,0.00332037
0.282,0,-1.69984,0,54.3236,-0.928162,0,-0.0550537,-2.12411,0,54.3108,0.0693503,0,0.00339229
0.284,0,-1.69998,0,54.3238,-0.493652,0,-0.0452271,-2.12419,0,54.3108,0.0716405,0,0.003488
0.286,0,-1.69923,0,54.3241,-0.0830078,0,-0.0354004,-2.12427,0,54.3108,0.0747924,0,0.00364709
0.288,0,-1.69766,0,54.3243,0.29541,0,-0.0256958,-2.12434,0,54.3108,0.0786917,0,0.0038146
0.29,0,-1.69534,0,54.3246,0.633972,0,-0.0165405,-2.1244,0,54.3108,0.0832096,0,0.00403807
0.292,0,-1.69236,0,54.3248,0.926819,0,-0.00793457,-2.12446,0,54.3108,0.0882117,0,0.00425567
0.294,0,-1.68881,0,54.3251,1.16907,0,-0.000183105,-2.1245,0,54.3108,0.0935554,0,0.00451674
0.296,0,-1.68481,0,54.3253,1.35736,0,0.0065918,-2.12453,0,54.3108,0.0990988,0,0.00476029
0.298,0,-1.68046,0,54.3255,1.48987,0,0.0123901,-2.12455,0,54.3108,0.1047,0,0.00503083
0.3,0,-1.67589,0,54.3257,1.5658,0,0.0170288,-2.12456,0,54.3108,0.110223,0,0.00527608
0.302,0,-1.67121,0,54.3258,1.58612,0,0.0204468,-2.12456,0,54.3108,0.115541,0,0.00552963
0.304,0,-1.66654,0,54.326,1.55261,0,0.022644,-2.12455,0,54.3108,0.120537,0,0.00575443
0.306,0,-1.66198,0,54.3261,1.46869,0,0.0236206,-2.12453,0,54.3108,0.125108,0,0.0059685
0.308,0,-1.65763,0,54.3261,1.33862,0,0.0233154,-2.1245,0,54.3108,0.129163,0,0.00615455
0.31,0,-1.6536,0,54.3262,1.16724,0,0.0219727,-2.12446,0,54.3108,0.132631,0,0.0063124
0.312,0,-1.64995,0,54.3262,0.960632,0,0.0195923,-2.12442,0,54.3108,0.135457,0,0.00644652
0.314,0,-1.64675,0,54.3262,0.72522,0,0.0162354,-2.12437,0,54.3108,0.137603,0,0.00653828
0.316,0,-1.64414,0,54.3261,0.468079,0,0.012207,-2.12432,0,54.3108,0.13905,0,0.00661311
0.318,0,-1.64212,0,54.326,0.195923,0,0.00750732,-2.12427,0,54.3108,0.139796,0,0.00663611
0.32,0,-1.64064,0,54.326,-0.0844727,0,0.0022583,-2.12421,0,54.3108,0.139855,0,0.00665021
0.322,0,-1.63974,0,54.3258,-0.366028,0,-0.00354004,-2.12416,0,54.3108,0.13926,0,0.00660863
0.324,0,-1.6394,0,54.3257,-0.642212,0,-0.00952148,-2.1241,0,54.3108,0.138053,0,0.00656611
0.326,0,-1.6396,0,54.3256,-0.906982,0,-0.0155029,-2.12405,0,54.3108,0.136293,0,0.00646995
0.328,0,-1.64032,0,54.3254,-1.15448,0,-0.0216675,-2.12401,0,54.3108,0.134045,0,0.00637933
0.33,0,-1.64151,0,54.3253,-1.3797,0,-0.0274658,-2.12397,0,54.3108,0.131388,0,0.00624301
0.332,0,-1.64314,0,54.3251,-1.57861,0,-0.0330811,-2.12393,0,54.3108,0.128401,0,0.00611653
0.334,0,-1.64513,0,54.3249,-1.74774,0,-0.038269,-2.1239,0,54.3108,0.125174,0,0.00595679
0.336,0,-1.64743,0,54.3248,-1.88422,0,-0.0429077,-2.12388,0,54.3108,0.121792,0,0.00580877
0.338,0,-1.64997,0,54.3247,-1.98657,0,-0.0469971,-2.12387,0,54.3108,0.118344,0,0.00564315
0.34,0,-1.65268,0,54.3245,-2.05396,0,-0.050415,-2.12386,0,54.3108,0.114914,0,0.00548849
0.342,0,-1.65548,0,54.3244,-2.08618,0,-0.0530396,-2.12386,0,54.3108,0.111584,0,0.00533345
0.344,0,-1.65831,0,54.3243,-2.08417,0,-0.0549927,-2.12386,0,54.3108,0.108427,0,0.00518649
0.346,0,-1.66113,0,54.3242,-2.0495,0,-0.0561523,-2.12387,0,54.3108,0.105511,0,0.00505585
0.348,0,-1.66391,0,54.3242,-1.98413,0,-0.0564575,-2.12389,0,54.3108,0.102894,0,0.00492904
0.35,0,-1.66654,0,54.3242,-1.89117,0,-0.0559692,-2.12391,0,54.3108,0.100623,0,0.00483292
0.352,0,-1.66895,0,54.3241,-1.77423,0,-0.0548706,-2.12394,0,54.3108,0.0987384,0,0.00473598
0.354,0,-1.67111,0,54.3241,-1.63696,0,-0.0530396,-2.12396,0,54.3108,0.0972644,0,0.00468016
0.356,0,-1.67297,0,54.3242,-1.48352,0,-0.0507202,-2.124,0,54.3108,0.0962193,0,0.00461933
0.358,0,-1.67449,0,54.3242,-1.31818,0,-0.0479126,-2.12403,0,54.3108,0.0956059,0,0.00460523
0.36,0,-1.67567,0,54.3243,-1.14551,0,-0.0447388,-2.12406,0,54.3108,0.0954208,0,0.00458311
0.362,0,-1.67648,0,54.3243,-0.969543,0,-0.0412598,-2.1241,0,54.3108,0.0956461,0,0.00460782
0.364,0,-1.67693,0,54.3244,-0.7948,0,-0.0375366,-2.12413,0,54.3108,0.0962599,0,0.00462342
0.366,0,-1.67702,0,54.3245,-0.625183,0,-0.0337524,-2.12416,0,54.3108,0.0972274,0,0.00468063
0.368,0,-1.67677,0,54.3246,-0.464478,0,-0.0298462,-2.12419,0,54.3108,0.0985113,0,0.00472969
0.37,0,-1.67619,0,54.3247,-0.315979,0,-0.0261841,-2.12421,0,54.3108,0.100064,0,0.00481054
0.372,0,-1.67532,0,54.3248,-0.182495,0,-0.022583,-2.12424,0,54.3108,0.101838,0,0.00488607
0.374,0,-1.67419,0,54.3249,-0.0665283,0,-0.0192261,-2.12426,0,54.3108,0.10378,0,0.00498037
0.376,0,-1.67283,0,54.325,0.0297852,0,-0.0161133,-2.12427,0,54.3108,0.105836,0,0.00507362
0.378,0,-1.67129,0,54.3251,0.105408,0,-0.0134277,-2.12428,0,54.3108,0.107953,0,0.00517085
0.38,0,-1.66962,0,54.3251,0.159302,0,-0.0111694,-2.12429,0,54.3108,0.110076,0,0.00527214
0.382,0,-1.66785,0,54.3252,0.191223,0,-0.00927734,-2.12429,0,54.3108,0.112155,0,0.00536261
0.384,0,-1.66604,0,54.3253,0.201477,0,-0.00787354,-2.12429,0,54.3108,0.114143,0,0.00546219
0.386,0,-1.66423,0,54.3253,0.190918,0,-0.00701904,-2.12429,0,54.3108,0.115998,0,0.00553795
0.388,0,-1.66245,0,54.3254,0.1604,0,-0.00653076,-2.12428,0,54.3108,0.117679,0,0.00562689
0.39,0,-1.66074,0,54.3254,0.111755,0,-0.0065918,-2.12426,0,54.3108,0.119157,0,0.00568229
0.392,0,-1.65916,0,54.3254,0.046936,0,-0.00708008,-2.12425,0,54.3108,0.120405,0,0.00575323
0.394,0,-1.65773,0,54.3254,-0.0319824,0,-0.00793457,-2.12423,0,54.3108,0.121405,0,0.00578521
0.396,0,-1.65646,0,54.3254,-0.122253,0,-0.00921631,-2.12421,0,54.3108,0.122143,0,0.0058329
0.398,0,-1.6554,0,54.3254,-0.221375,0,-0.0108643,-2.12419,0,54.3108,0.122616,0,0.00584112
0.4,0,-1.65454,0,54.3254,-0.326904,0,-0.0127563,-2.12417,0,54.3108,0.122823,0,0.00586271
0.402,0,-1.6539,0,54.3253,-0.435791,0,-0.0147705,-2.12415,0,54.3108,0.122773,0,0.00584914
0.404,0,-1.6535,0,54.3253,-0.54541,0,-0.0171509,-2.12413,0,54.3108,0.122477,0,0.00584443
0.406,0,-1.65332,0,54.3252,-0.653198,0,-0.0194092,-2.12411,0,54.3108,0.121957,0,0.00581293
0.408,0,-1.65337,0,54.3252,-0.756775,0,-0.0217896,-2.12409,0,54.3108,0.121232,0,0.00578409
0.41,0,-1.65362,0,54.3251,-0.85376,0,-0.0241089,-2.12408,0,54.3108,0.120331,0,0.00573981
0.412,0,-1.65406,0,54.3251,-0.942383,0,-0.0264282,-2.12406,0,54.3108,0.119283,0,0.00569112
0.414,0,-1.65467,0,54.325,-1.02094,0,-0.0286255,-2.12405,0,54.3108,0.118119,0,0.00563984
0.416,0,-1.65543,0,54.3249,-1.08789,0,-0.0306396,-2.12404,0,54.3108,0.116874,0,0.00557713
0.418,0,-1.65633,0,54.3249,-1.14233,0,-0.0324707,-2.12403,0,54.3108,0.115579,0,0.00552457
0.42,0,-1.65733,0,54.3248,-1.18359,0,-0.0340576,-2.12403,0,54.3108,0.114269,0,0.00545466
0.422,0,-1.65841,0,54.3248,-1.21106,0,-0.0352783,-2.12402,0,54.3108,0.112974,0,0.00540593
0.424,0,-1.65952,0,54.3247,-1.22504,0,-0.036377,-2.12402,0,54.3108,0.111726,0,0.0053359
0.426,0,-1.66066,0,54.3247,-1.22559,0,-0.0371094,-2.12403,0,54.3108,0.110551,0,0.00529505
0.428,0,-1.66179,0,54.3247,-1.21332,0,-0.0375366,-2.12403,0,54.3108,0.109475,0,0.00523159
0.43,0,-1.66288,0,54.3246,-1.18915,0,-0.0375977,-2.12404,0,54.3108,0.108517,0,0.00520134
0.432,0,-1.66391,0,54.3246,-1.15417,0,-0.0375366,-2.12405,0,54.3108,0.107697,0,0.00515014
0.434,0,-1.66485,0,54.3246,-1.10968,0,-0.0371094,-2.12406,0,54.3108,0.107025,0,0.00513181
0.436,0,-1.66571,0,54.3246,-1.05719,0,-0.036377,-2.12407,0,54.3108,0.106513,0,0.00509704
0.438,0,-1.66644,0,54.3246,-0.998291,0,-0.0355225,-2.12408,0,54.3108,0.106162,0,0.00509065
0.44,0,-1.66705,0,54.3246,-0.934448,0,-0.0344238,-2.12409,0,54.3108,0.105977,0,0.00507466
0.442,0,-1.66752,0,54.3247,-0.867676,0,-0.0332642,-2.12411,0,54.3108,0.105952,0,0.00507906
